정점명,차수,날짜,추정_개수,추정_무게_kg,위도,경도,군집
강화여차리,1차,2023-01-31,98,8.25,37.620648,126.3893598,2
강화여차리,2차,2023-03-31,72,2.86,37.620648,126.3893598,2
강화여차리,3차,2023-05-31,73,3.98,37.620648,126.3893598,2
강화여차리,4차,2023-07-31,86,2.06,37.620648,126.3893598,2
강화여차리,5차,2023-09-30,101,2.96,37.620648,126.3893598,2
강화여차리,6차,2023-11-30,80,4.99,37.620648,126.3893598,2
안산말부흥,1차,2023-01-31,10,0.16,37.2211136,126.5721774,2
안산말부흥,2차,2023-03-31,7,0.06,37.2211136,126.5721774,2
안산말부흥,3차,2023-05-31,7,0.08,37.2211136,126.5721774,2
안산말부흥,4차,2023-07-31,8,0.04,37.2211136,126.5721774,2
안산말부흥,5차,2023-09-30,10,0.06,37.2211136,126.5721774,2
안산말부흥,6차,2023-11-30,8,0.1,37.2211136,126.5721774,2
태안백리포,1차,2023-01-31,260,16.36,36.81403540000001,126.1599651,2
태안백리포,2차,2023-03-31,191,5.67,36.81403540000001,126.1599651,2
태안백리포,3차,2023-05-31,195,7.9,36.81403540000001,126.1599651,2
태안백리포,4차,2023-07-31,229,4.09,36.81403540000001,126.1599651,2
태안백리포,5차,2023-09-30,270,5.88,36.81403540000001,126.1599651,2
태안백리포,6차,2023-11-30,213,9.9,36.81403540000001,126.1599651,2
보령석대도,1차,2023-01-31,26,16.46,36.2471347,126.5464963,2
보령석대도,2차,2023-03-31,19,5.71,36.2471347,126.5464963,2
보령석대도,3차,2023-05-31,20,7.95,36.2471347,126.5464963,2
보령석대도,4차,2023-07-31,23,4.11,36.2471347,126.5464963,2
보령석대도,5차,2023-09-30,27,5.91,36.2471347,126.5464963,2
보령석대도,6차,2023-11-30,22,9.96,36.2471347,126.5464963,2
부안변산,1차,2023-01-31,19,12.81,35.6898916,126.5494362,2
부안변산,2차,2023-03-31,14,4.44,35.6898916,126.5494362,2
부안변산,3차,2023-05-31,14,6.19,35.6898916,126.5494362,2
부안변산,4차,2023-07-31,16,3.2,35.6898916,126.5494362,2
부안변산,5차,2023-09-30,19,4.6,35.6898916,126.5494362,2
부안변산,6차,2023-11-30,15,7.75,35.6898916,126.5494362,2
신안임자도,1차,2023-01-31,23,2.33,35.1297591,126.1198797,2
신안임자도,2차,2023-03-31,17,0.81,35.1297591,126.1198797,2
신안임자도,3차,2023-05-31,17,1.13,35.1297591,126.1198797,2
신안임자도,4차,2023-07-31,20,0.58,35.1297591,126.1198797,2
신안임자도,5차,2023-09-30,24,0.84,35.1297591,126.1198797,2
신안임자도,6차,2023-11-30,19,1.41,35.1297591,126.1198797,2
진도하조도,1차,2023-01-31,59,8.18,34.2901417,126.0649425,2
진도하조도,2차,2023-03-31,44,2.84,34.2901417,126.0649425,2
진도하조도,3차,2023-05-31,44,3.95,34.2901417,126.0649425,2
진도하조도,4차,2023-07-31,52,2.04,34.2901417,126.0649425,2
진도하조도,5차,2023-09-30,61,2.94,34.2901417,126.0649425,2
진도하조도,6차,2023-11-30,49,4.95,34.2901417,126.0649425,2
해남묵동리,1차,2023-01-31,42,5.06,34.3711166,126.6036024,2
해남묵동리,2차,2023-03-31,31,1.75,34.3711166,126.6036024,2
해남묵동리,3차,2023-05-31,32,2.44,34.3711166,126.6036024,2
해남묵동리,4차,2023-07-31,37,1.26,34.3711166,126.6036024,2
해남묵동리,5차,2023-09-30,44,1.82,34.3711166,126.6036024,2
해남묵동리,6차,2023-11-30,35,3.06,34.3711166,126.6036024,2
고흥신흥,1차,2023-01-31,86,7.62,34.5792925,127.1444411,2
고흥신흥,2차,2023-03-31,64,2.64,34.5792925,127.1444411,2
고흥신흥,3차,2023-05-31,65,3.68,34.5792925,127.1444411,2
고흥신흥,4차,2023-07-31,76,1.9,34.5792925,127.1444411,2
고흥신흥,5차,2023-09-30,90,2.74,34.5792925,127.1444411,2
고흥신흥,6차,2023-11-30,71,4.61,34.5792925,127.1444411,2
여수반월,1차,2023-01-31,47,2.23,34.7912068,127.5738306,2
여수반월,2차,2023-03-31,35,0.77,34.7912068,127.5738306,2
여수반월,3차,2023-05-31,35,1.08,34.7912068,127.5738306,2
여수반월,4차,2023-07-31,41,0.56,34.7912068,127.5738306,2
여수반월,5차,2023-09-30,49,0.8,34.7912068,127.5738306,2
여수반월,6차,2023-11-30,39,1.35,34.7912068,127.5738306,2
사천아두도,1차,2023-01-31,62,9.3,34.8989113,128.0757013,2
사천아두도,2차,2023-03-31,46,3.22,34.8989113,128.0757013,2
사천아두도,3차,2023-05-31,47,4.49,34.8989113,128.0757013,2
사천아두도,4차,2023-07-31,55,2.32,34.8989113,128.0757013,2
사천아두도,5차,2023-09-30,65,3.34,34.8989113,128.0757013,2
사천아두도,6차,2023-11-30,51,5.63,34.8989113,128.0757013,2
통영망일봉,1차,2023-01-31,232,5.26,34.8479613,128.4371946,2
통영망일봉,2차,2023-03-31,171,1.82,34.8479613,128.4371946,2
통영망일봉,3차,2023-05-31,175,2.54,34.8479613,128.4371946,2
통영망일봉,4차,2023-07-31,205,1.31,34.8479613,128.4371946,2
통영망일봉,5차,2023-09-30,241,1.89,34.8479613,128.4371946,2
통영망일봉,6차,2023-11-30,191,3.18,34.8479613,128.4371946,2
마산봉암,1차,2023-01-31,185,6.44,35.2246659,128.6061178,2
마산봉암,2차,2023-03-31,136,2.23,35.2246659,128.6061178,2
마산봉암,3차,2023-05-31,139,3.11,35.2246659,128.6061178,2
마산봉암,4차,2023-07-31,163,1.61,35.2246659,128.6061178,2
마산봉암,5차,2023-09-30,192,2.31,35.2246659,128.6061178,2
마산봉암,6차,2023-11-30,152,3.9,35.2246659,128.6061178,2
부산해양대,1차,2023-01-31,153,7.52,35.0708907,129.0745195,2
부산해양대,2차,2023-03-31,113,2.61,35.0708907,129.0745195,2
부산해양대,3차,2023-05-31,115,3.63,35.0708907,129.0745195,2
부산해양대,4차,2023-07-31,135,1.88,35.0708907,129.0745195,2
부산해양대,5차,2023-09-30,159,2.7,35.0708907,129.0745195,2
부산해양대,6차,2023-11-30,126,4.55,35.0708907,129.0745195,2
울산대왕암,1차,2023-01-31,436,9.1,35.4969464,129.4330583,0
울산대왕암,2차,2023-03-31,321,3.16,35.4969464,129.4330583,0
울산대왕암,3차,2023-05-31,328,4.4,35.4969464,129.4330583,0
울산대왕암,4차,2023-07-31,384,2.27,35.4969464,129.4330583,0
울산대왕암,5차,2023-09-30,453,3.27,35.4969464,129.4330583,0
울산대왕암,6차,2023-11-30,358,5.51,35.4969464,129.4330583,0
포항칠포,1차,2023-01-31,371,24.9,36.1440365,129.3900131,0
포항칠포,2차,2023-03-31,273,8.64,36.1440365,129.3900131,0
포항칠포,3차,2023-05-31,279,12.03,36.1440365,129.3900131,0
포항칠포,4차,2023-07-31,326,6.22,36.1440365,129.3900131,0
포항칠포,5차,2023-09-30,385,8.95,36.1440365,129.3900131,0
포항칠포,6차,2023-11-30,304,15.07,36.1440365,129.3900131,0
울진후정,1차,2023-01-31,76,1.61,37.0629194,129.4037505,2
울진후정,2차,2023-03-31,56,0.56,37.0629194,129.4037505,2
울진후정,3차,2023-05-31,57,0.78,37.0629194,129.4037505,2
울진후정,4차,2023-07-31,67,0.4,37.0629194,129.4037505,2
울진후정,5차,2023-09-30,78,0.58,37.0629194,129.4037505,2
울진후정,6차,2023-11-30,62,0.97,37.0629194,129.4037505,2
강릉송정,1차,2023-01-31,67,1.61,37.8137117,128.87497,2
강릉송정,2차,2023-03-31,49,0.56,37.8137117,128.87497,2
강릉송정,3차,2023-05-31,50,0.78,37.8137117,128.87497,2
강릉송정,4차,2023-07-31,59,0.4,37.8137117,128.87497,2
강릉송정,5차,2023-09-30,69,0.58,37.8137117,128.87497,2
강릉송정,6차,2023-11-30,55,0.97,37.8137117,128.87497,2
속초청초,1차,2023-01-31,330,4.43,38.1951876,128.5962751,0
속초청초,2차,2023-03-31,243,1.54,38.1951876,128.5962751,0
속초청초,3차,2023-05-31,248,2.14,38.1951876,128.5962751,0
속초청초,4차,2023-07-31,291,1.11,38.1951876,128.5962751,0
속초청초,5차,2023-09-30,343,1.59,38.1951876,128.5962751,0
속초청초,6차,2023-11-30,271,2.68,38.1951876,128.5962751,0
인천백령도,1차,2023-01-31,155,25.62,37.9646004,124.7066217,2
인천백령도,2차,2023-03-31,114,8.89,37.9646004,124.7066217,2
인천백령도,3차,2023-05-31,117,12.38,37.9646004,124.7066217,2
인천백령도,4차,2023-07-31,137,6.4,37.9646004,124.7066217,2
인천백령도,5차,2023-09-30,161,9.21,37.9646004,124.7066217,2
인천백령도,6차,2023-11-30,128,15.5,37.9646004,124.7066217,2
인천영종도,1차,2023-01-31,14,0.33,37.455283,126.3793637,2
인천영종도,2차,2023-03-31,10,0.11,37.455283,126.3793637,2
인천영종도,3차,2023-05-31,11,0.16,37.455283,126.3793637,2
인천영종도,4차,2023-07-31,12,0.08,37.455283,126.3793637,2
인천영종도,5차,2023-09-30,15,0.12,37.455283,126.3793637,2
인천영종도,6차,2023-11-30,12,0.2,37.455283,126.3793637,2
인천영흥도,1차,2023-01-31,9,0.23,37.26838,126.4702202,2
인천영흥도,2차,2023-03-31,6,0.08,37.26838,126.4702202,2
인천영흥도,3차,2023-05-31,7,0.11,37.26838,126.4702202,2
인천영흥도,4차,2023-07-31,8,0.06,37.26838,126.4702202,2
인천영흥도,5차,2023-09-30,9,0.08,37.26838,126.4702202,2
인천영흥도,6차,2023-11-30,7,0.14,37.26838,126.4702202,2
태안안면도,1차,2023-01-31,479,19.71,36.4328714,126.3795894,0
태안안면도,2차,2023-03-31,352,6.84,36.4328714,126.3795894,0
태안안면도,3차,2023-05-31,360,9.52,36.4328714,126.3795894,0
태안안면도,4차,2023-07-31,421,4.92,36.4328714,126.3795894,0
태안안면도,5차,2023-09-30,497,7.08,36.4328714,126.3795894,0
태안안면도,6차,2023-11-30,393,11.93,36.4328714,126.3795894,0
서천다사항,1차,2023-01-31,25,18.43,36.1057151,126.6142634,2
서천다사항,2차,2023-03-31,18,6.39,36.1057151,126.6142634,2
서천다사항,3차,2023-05-31,19,8.9,36.1057151,126.6142634,2
서천다사항,4차,2023-07-31,22,4.6,36.1057151,126.6142634,2
서천다사항,5차,2023-09-30,26,6.62,36.1057151,126.6142634,2
서천다사항,6차,2023-11-30,21,11.15,36.1057151,126.6142634,2
고창동호,1차,2023-01-31,44,32.59,35.5093734,126.4884499,2
고창동호,2차,2023-03-31,32,11.3,35.5093734,126.4884499,2
고창동호,3차,2023-05-31,33,15.75,35.5093734,126.4884499,2
고창동호,4차,2023-07-31,39,8.14,35.5093734,126.4884499,2
고창동호,5차,2023-09-30,45,11.71,35.5093734,126.4884499,2
고창동호,6차,2023-11-30,36,19.72,35.5093734,126.4884499,2
영광백바위,1차,2023-01-31,85,38.53,35.2297901,126.3094011,2
영광백바위,2차,2023-03-31,62,13.36,35.2297901,126.3094011,2
영광백바위,3차,2023-05-31,64,18.62,35.2297901,126.3094011,2
영광백바위,4차,2023-07-31,74,9.62,35.2297901,126.3094011,2
영광백바위,5차,2023-09-30,88,13.84,35.2297901,126.3094011,2
영광백바위,6차,2023-11-30,69,23.32,35.2297901,126.3094011,2
신안고장,1차,2023-01-31,186,6.57,34.8767863,126.005592,2
신안고장,2차,2023-03-31,137,2.28,34.8767863,126.005592,2
신안고장,3차,2023-05-31,140,3.17,34.8767863,126.005592,2
신안고장,4차,2023-07-31,164,1.64,34.8767863,126.005592,2
신안고장,5차,2023-09-30,193,2.36,34.8767863,126.005592,2
신안고장,6차,2023-11-30,152,3.98,34.8767863,126.005592,2
해남예락,1차,2023-01-31,56,19.15,34.6109314,126.2922176,2
해남예락,2차,2023-03-31,41,6.64,34.6109314,126.2922176,2
해남예락,3차,2023-05-31,42,9.25,34.6109314,126.2922176,2
해남예락,4차,2023-07-31,49,4.78,34.6109314,126.2922176,2
해남예락,5차,2023-09-30,58,6.88,34.6109314,126.2922176,2
해남예락,6차,2023-11-30,46,11.59,34.6109314,126.2922176,2
해남송평,1차,2023-01-31,63,23.62,34.44268580000001,126.4748789,2
해남송평,2차,2023-03-31,46,8.19,34.44268580000001,126.4748789,2
해남송평,3차,2023-05-31,47,11.41,34.44268580000001,126.4748789,2
해남송평,4차,2023-07-31,55,5.9,34.44268580000001,126.4748789,2
해남송평,5차,2023-09-30,65,8.49,34.44268580000001,126.4748789,2
해남송평,6차,2023-11-30,51,14.29,34.44268580000001,126.4748789,2
제주김녕리,1차,2023-01-31,477,45.2,33.5389636,126.7494481,0
제주김녕리,2차,2023-03-31,351,15.68,33.5389636,126.7494481,0
제주김녕리,3차,2023-05-31,359,21.84,33.5389636,126.7494481,0
제주김녕리,4차,2023-07-31,420,11.29,33.5389636,126.7494481,0
제주김녕리,5차,2023-09-30,495,16.24,33.5389636,126.7494481,0
제주김녕리,6차,2023-11-30,392,27.35,33.5389636,126.7494481,0
완도신지도,1차,2023-01-31,142,13.96,34.3349187,126.7801042,2
완도신지도,2차,2023-03-31,105,4.84,34.3349187,126.7801042,2
완도신지도,3차,2023-05-31,107,6.75,34.3349187,126.7801042,2
완도신지도,4차,2023-07-31,125,3.49,34.3349187,126.7801042,2
완도신지도,5차,2023-09-30,148,5.02,34.3349187,126.7801042,2
완도신지도,6차,2023-11-30,117,8.45,34.3349187,126.7801042,2
여수백야도,1차,2023-01-31,100,3.81,34.6154129,127.637848,2
여수백야도,2차,2023-03-31,74,1.32,34.6154129,127.637848,2
여수백야도,3차,2023-05-31,76,1.84,34.6154129,127.637848,2
여수백야도,4차,2023-07-31,88,0.95,34.6154129,127.637848,2
여수백야도,5차,2023-09-30,104,1.37,34.6154129,127.637848,2
여수백야도,6차,2023-11-30,82,2.31,34.6154129,127.637848,2
고흥염포,1차,2023-01-31,83,6.01,34.4360441,127.4974104,2
고흥염포,2차,2023-03-31,61,2.08,34.4360441,127.4974104,2
고흥염포,3차,2023-05-31,63,2.9,34.4360441,127.4974104,2
고흥염포,4차,2023-07-31,73,1.5,34.4360441,127.4974104,2
고흥염포,5차,2023-09-30,86,2.16,34.4360441,127.4974104,2
고흥염포,6차,2023-11-30,68,3.64,34.4360441,127.4974104,2
남해유구,1차,2023-01-31,36,8.7,34.76155240000001,127.8562831,2
남해유구,2차,2023-03-31,26,3.02,34.76155240000001,127.8562831,2
남해유구,3차,2023-05-31,27,4.21,34.76155240000001,127.8562831,2
남해유구,4차,2023-07-31,32,2.17,34.76155240000001,127.8562831,2
남해유구,5차,2023-09-30,37,3.13,34.76155240000001,127.8562831,2
남해유구,6차,2023-11-30,30,5.27,34.76155240000001,127.8562831,2
거제두모,1차,2023-01-31,717,11.1,34.986674,128.6911309,0
거제두모,2차,2023-03-31,528,3.85,34.986674,128.6911309,0
거제두모,3차,2023-05-31,539,5.36,34.986674,128.6911309,0
거제두모,4차,2023-07-31,631,2.77,34.986674,128.6911309,0
거제두모,5차,2023-09-30,744,3.99,34.986674,128.6911309,0
거제두모,6차,2023-11-30,588,6.72,34.986674,128.6911309,0
울주나사리,1차,2023-01-31,222,15.11,35.3490177,129.3182481,2
울주나사리,2차,2023-03-31,163,5.24,35.3490177,129.3182481,2
울주나사리,3차,2023-05-31,167,7.3,35.3490177,129.3182481,2
울주나사리,4차,2023-07-31,195,3.77,35.3490177,129.3182481,2
울주나사리,5차,2023-09-30,230,5.43,35.3490177,129.3182481,2
울주나사리,6차,2023-11-30,182,9.14,35.3490177,129.3182481,2
동해노봉,1차,2023-01-31,157,6.01,37.5729655,129.0834231,2
동해노봉,2차,2023-03-31,116,2.08,37.5729655,129.0834231,2
동해노봉,3차,2023-05-31,118,2.9,37.5729655,129.0834231,2
동해노봉,4차,2023-07-31,139,1.5,37.5729655,129.0834231,2
동해노봉,5차,2023-09-30,163,2.16,37.5729655,129.0834231,2
동해노봉,6차,2023-11-30,129,3.64,37.5729655,129.0834231,2
영덕고래불,1차,2023-01-31,114,3.22,36.6026697,129.4094795,2
영덕고래불,2차,2023-03-31,84,1.12,36.6026697,129.4094795,2
영덕고래불,3차,2023-05-31,86,1.56,36.6026697,129.4094795,2
영덕고래불,4차,2023-07-31,100,0.8,36.6026697,129.4094795,2
영덕고래불,5차,2023-09-30,118,1.16,36.6026697,129.4094795,2
영덕고래불,6차,2023-11-30,94,1.95,36.6026697,129.4094795,2
포항구룡포,1차,2023-01-31,778,28.58,36.0623152,129.558625,0
포항구룡포,2차,2023-03-31,572,9.91,36.0623152,129.558625,0
포항구룡포,3차,2023-05-31,584,13.81,36.0623152,129.558625,0
포항구룡포,4차,2023-07-31,685,7.14,36.0623152,129.558625,0
포항구룡포,5차,2023-09-30,807,10.27,36.0623152,129.558625,0
포항구룡포,6차,2023-11-30,638,17.29,36.0623152,129.558625,0
제주사계리,1차,2023-01-31,158,6.18,33.2383758,126.3026575,2
제주사계리,2차,2023-03-31,116,2.14,33.2383758,126.3026575,2
제주사계리,3차,2023-05-31,119,2.98,33.2383758,126.3026575,2
제주사계리,4차,2023-07-31,139,1.54,33.2383758,126.3026575,2
제주사계리,5차,2023-09-30,164,2.22,33.2383758,126.3026575,2
제주사계리,6차,2023-11-30,130,3.74,33.2383758,126.3026575,2
고성하일,1차,2023-01-31,327,7.16,34.9243186,128.1942245,0
고성하일,2차,2023-03-31,241,2.48,34.9243186,128.1942245,0
고성하일,3차,2023-05-31,246,3.46,34.9243186,128.1942245,0
고성하일,4차,2023-07-31,288,1.79,34.9243186,128.1942245,0
고성하일,5차,2023-09-30,340,2.57,34.9243186,128.1942245,0
고성하일,6차,2023-11-30,269,4.33,34.9243186,128.1942245,0
군산선유도,1차,2023-01-31,9,1.25,35.8265225,126.4109249,2
군산선유도,2차,2023-03-31,6,0.43,35.8265225,126.4109249,2
군산선유도,3차,2023-05-31,6,0.6,35.8265225,126.4109249,2
군산선유도,4차,2023-07-31,8,0.31,35.8265225,126.4109249,2
군산선유도,5차,2023-09-30,9,0.45,35.8265225,126.4109249,2
군산선유도,6차,2023-11-30,7,0.76,35.8265225,126.4109249,2
당진석문,1차,2023-01-31,30,0.59,37.034301,126.5107641,2
당진석문,2차,2023-03-31,22,0.21,37.034301,126.5107641,2
당진석문,3차,2023-05-31,23,0.29,37.034301,126.5107641,2
당진석문,4차,2023-07-31,27,0.15,37.034301,126.5107641,2
당진석문,5차,2023-09-30,32,0.21,37.034301,126.5107641,2
당진석문,6차,2023-11-30,25,0.36,37.034301,126.5107641,2
보령삽시도,1차,2023-01-31,130,1.68,36.3388359,126.3549133,2
보령삽시도,2차,2023-03-31,95,0.58,36.3388359,126.3549133,2
보령삽시도,3차,2023-05-31,97,0.81,36.3388359,126.3549133,2
보령삽시도,4차,2023-07-31,114,0.42,36.3388359,126.3549133,2
보령삽시도,5차,2023-09-30,134,0.6,36.3388359,126.3549133,2
보령삽시도,6차,2023-11-30,106,1.01,36.3388359,126.3549133,2
부산가덕도,1차,2023-01-31,647,17.11,35.0671545,128.846194,0
부산가덕도,2차,2023-03-31,476,5.94,35.0671545,128.846194,0
부산가덕도,3차,2023-05-31,487,8.27,35.0671545,128.846194,0
부산가덕도,4차,2023-07-31,570,4.27,35.0671545,128.846194,0
부산가덕도,5차,2023-09-30,672,6.15,35.0671545,128.846194,0
부산가덕도,6차,2023-11-30,531,10.36,35.0671545,128.846194,0
부산일광,1차,2023-01-31,512,11.89,35.2538187,129.2474352,0
부산일광,2차,2023-03-31,377,4.12,35.2538187,129.2474352,0
부산일광,3차,2023-05-31,385,5.75,35.2538187,129.2474352,0
부산일광,4차,2023-07-31,451,2.97,35.2538187,129.2474352,0
부산일광,5차,2023-09-30,531,4.27,35.2538187,129.2474352,0
부산일광,6차,2023-11-30,420,7.2,35.2538187,129.2474352,0
시흥정왕,1차,2023-01-31,151,1.58,37.3411588,126.7220994,2
시흥정왕,2차,2023-03-31,111,0.55,37.3411588,126.7220994,2
시흥정왕,3차,2023-05-31,114,0.76,37.3411588,126.7220994,2
시흥정왕,4차,2023-07-31,133,0.39,37.3411588,126.7220994,2
시흥정왕,5차,2023-09-30,157,0.57,37.3411588,126.7220994,2
시흥정왕,6차,2023-11-30,124,0.95,37.3411588,126.7220994,2
신안압해도,1차,2023-01-31,221,32.49,34.8562485,126.2762597,2
신안압해도,2차,2023-03-31,163,11.27,34.8562485,126.2762597,2
신안압해도,3차,2023-05-31,166,15.7,34.8562485,126.2762597,2
신안압해도,4차,2023-07-31,195,8.11,34.8562485,126.2762597,2
신안압해도,5차,2023-09-30,230,11.67,34.8562485,126.2762597,2
신안압해도,6차,2023-11-30,182,19.66,34.8562485,126.2762597,2
신안우이도,1차,2023-01-31,669,406.67,34.6087046,125.8400858,1
신안우이도,2차,2023-03-31,492,141.05,34.6087046,125.8400858,1
신안우이도,3차,2023-05-31,503,196.5,34.6087046,125.8400858,1
신안우이도,4차,2023-07-31,589,101.57,34.6087046,125.8400858,1
신안우이도,5차,2023-09-30,694,146.11,34.6087046,125.8400858,1
신안우이도,6차,2023-11-30,549,246.07,34.6087046,125.8400858,1
신안흑산도,1차,2023-01-31,523,72.2,34.6743075,125.4051371,0
신안흑산도,2차,2023-03-31,385,25.04,34.6743075,125.4051371,0
신안흑산도,3차,2023-05-31,393,34.89,34.6743075,125.4051371,0
신안흑산도,4차,2023-07-31,460,18.03,34.6743075,125.4051371,0
신안흑산도,5차,2023-09-30,543,25.94,34.6743075,125.4051371,0
신안흑산도,6차,2023-11-30,429,43.69,34.6743075,125.4051371,0
여수거문도,1차,2023-01-31,805,24.44,34.046257,127.2879661,0
여수거문도,2차,2023-03-31,592,8.48,34.046257,127.2879661,0
여수거문도,3차,2023-05-31,605,11.81,34.046257,127.2879661,0
여수거문도,4차,2023-07-31,709,6.1,34.046257,127.2879661,0
여수거문도,5차,2023-09-30,835,8.78,34.046257,127.2879661,0
여수거문도,6차,2023-11-30,661,14.79,34.046257,127.2879661,0
여수안도,1차,2023-01-31,2185,83.27,34.4857211,127.8106368,3
여수안도,2차,2023-03-31,1608,28.88,34.4857211,127.8106368,3
여수안도,3차,2023-05-31,1642,40.24,34.4857211,127.8106368,3
여수안도,4차,2023-07-31,1924,20.8,34.4857211,127.8106368,3
여수안도,5차,2023-09-30,2268,29.92,34.4857211,127.8106368,3
여수안도,6차,2023-11-30,1793,50.39,34.4857211,127.8106368,3
완도보길도,1차,2023-01-31,324,12.61,34.1593277,126.5241703,0
완도보길도,2차,2023-03-31,238,4.37,34.1593277,126.5241703,0
완도보길도,3차,2023-05-31,243,6.09,34.1593277,126.5241703,0
완도보길도,4차,2023-07-31,285,3.15,34.1593277,126.5241703,0
완도보길도,5차,2023-09-30,336,4.53,34.1593277,126.5241703,0
완도보길도,6차,2023-11-30,266,7.63,34.1593277,126.5241703,0
완도평일도,1차,2023-01-31,154,27.92,34.3289971,126.8040192,2
완도평일도,2차,2023-03-31,114,9.68,34.3289971,126.8040192,2
완도평일도,3차,2023-05-31,116,13.49,34.3289971,126.8040192,2
완도평일도,4차,2023-07-31,136,6.97,34.3289971,126.8040192,2
완도평일도,5차,2023-09-30,160,10.03,34.3289971,126.8040192,2
완도평일도,6차,2023-11-30,127,16.9,34.3289971,126.8040192,2
울릉현포,1차,2023-01-31,438,82.29,37.527339,130.8339278,0
울릉현포,2차,2023-03-31,322,28.54,37.527339,130.8339278,0
울릉현포,3차,2023-05-31,329,39.76,37.527339,130.8339278,0
울릉현포,4차,2023-07-31,385,20.55,37.527339,130.8339278,0
울릉현포,5차,2023-09-30,454,29.56,37.527339,130.8339278,0
울릉현포,6차,2023-11-30,359,49.79,37.527339,130.8339278,0
울산주전,1차,2023-01-31,264,4.47,35.5578088,129.4481506,2
울산주전,2차,2023-03-31,194,1.55,35.5578088,129.4481506,2
울산주전,3차,2023-05-31,198,2.16,35.5578088,129.4481506,2
울산주전,4차,2023-07-31,232,1.12,35.5578088,129.4481506,2
울산주전,5차,2023-09-30,274,1.61,35.5578088,129.4481506,2
울산주전,6차,2023-11-30,217,2.7,35.5578088,129.4481506,2
제주위미,1차,2023-01-31,173,4.86,33.3283413,126.6661355,2
제주위미,2차,2023-03-31,127,1.69,33.3283413,126.6661355,2
제주위미,3차,2023-05-31,130,2.35,33.3283413,126.6661355,2
제주위미,4차,2023-07-31,152,1.21,33.3283413,126.6661355,2
제주위미,5차,2023-09-30,179,1.75,33.3283413,126.6661355,2
제주위미,6차,2023-11-30,142,2.94,33.3283413,126.6661355,2
진도가사도,1차,2023-01-31,258,73.91,34.4797866,126.0504041,0
진도가사도,2차,2023-03-31,190,25.63,34.4797866,126.0504041,0
진도가사도,3차,2023-05-31,194,35.71,34.4797866,126.0504041,0
진도가사도,4차,2023-07-31,227,18.46,34.4797866,126.0504041,0
진도가사도,5차,2023-09-30,268,26.56,34.4797866,126.0504041,0
진도가사도,6차,2023-11-30,212,44.72,34.4797866,126.0504041,0
통영욕지도,1차,2023-01-31,490,15.73,34.6315021,128.241404,0
통영욕지도,2차,2023-03-31,361,5.46,34.6315021,128.241404,0
통영욕지도,3차,2023-05-31,369,7.6,34.6315021,128.241404,0
통영욕지도,4차,2023-07-31,432,3.93,34.6315021,128.241404,0
통영욕지도,5차,2023-09-30,509,5.65,34.6315021,128.241404,0
통영욕지도,6차,2023-11-30,402,9.52,34.6315021,128.241404,0
화성서신,1차,2023-01-31,24,0.49,37.1295396,126.6975366,2
화성서신,2차,2023-03-31,17,0.17,37.1295396,126.6975366,2
화성서신,3차,2023-05-31,18,0.24,37.1295396,126.6975366,2
화성서신,4차,2023-07-31,21,0.12,37.1295396,126.6975366,2
화성서신,5차,2023-09-30,25,0.18,37.1295396,126.6975366,2
화성서신,6차,2023-11-30,19,0.3,37.1295396,126.6975366,2
